Model,Abstract,True Title,Predicted Title
Word2vec,swamped with homicides investigators cope with too little expertise and too much corruption and they are targets themselves ,start in mexican drug war investigators are fearful end , start in mexico city of the poor is shaken by violence end
Word2vec,here are some likely contenders according to allies and advisers of the clintons and prominent democrats and look at their strengths and weaknesses ,start who might hillary clinton running mate be if she the nominee end , start a democratic debate end
Word2vec,the trial of the iraqi journalist who threw his shoes at president george bush was adjourned until march 12 muntader al zaidi has been incarcerated since dec 14 ,start trial of iraqi ‘shoe thrower’ is end , start trial of ex president of president is arrested end
Word2vec,the move raises concerns about academic freedom in macau where professors have little formal protection if they ideas that are unpopular with academic and political leaders ,start macau scholar says he lost his job over pro democracy activism end , start in china and muslims are seen as online attacks end
Word2vec,mr barrow well respected diplomat was chosen day after his predecessor ivan rogers announced his decision to quit ,start britain names tim new top diplomat to e u end , start ex president of u s dies at 93 end
Word2vec,just as the war effort grows unpopular at home german forces are fighting in the increasingly violent regions of northern afghanistan ,start grim reality for german forces in kunduz end , start a military base in afghanistan end
Word2vec,the basque nationalist political party already illegal in spain announced thursday that it would dissolve itself in france as well ,start france basque party to disband end , start a new leader for independence vote end
Word2vec,mr rezaian will have spent his day in captivity as of friday the same length of time as the americans held during the 1979 81 iran hostage crisis ,start jason rezaian washington post reporter nears grim milestone in iran end , start iran dies at 91 end
Word2vec,f b i documents open window into the secretive process by which officials place the names of people suspected of links to terrorism on list ” ,start documenting the process end , start u s inquiry on isis end
Word2vec,israeli officials unveiled plaza where men and women can pray together but the move was denounced as discriminatory by the main group that has protested the rules at the holy site ,start prayer plaza in jerusalem for both ignites uproar end , start israel and hamas clash over holy site end
Word2vec,a large group of gunmen armed with rifles grenades and bombs killed at least 14 people in an audacious midday robbery according to officials and witness ,gunmen rob baghdad jewelry stores in sight of checkpoints killing at least 14 end , start police officers killed in attack on afghan police end
Word2vec,speaking before an inquiry on wednesday the news corporation chief rupert murdoch sought to deflect suggestions that he wielded influence with british officials to further his corporate interests ,start murdoch center stage plays powerless broker end , start murdoch says he won’t resign after hacking scandal end
Word2vec,the result was the first loss by kennedy in massachusetts election and demonstrated the progressive energy that is reshaping the democratic party ,start ed markey held off joseph kennedy in democratic senate clash in massachusetts end , start the democratic party in georgia end
Word2vec,president hu visit to xinjiang occurred as local officials dismissed reports that trials would begin this week of suspects in ethnic violence ,start chinese president visits volatile xinjiang end , start china says it will hold on myanmar end
Word2vec,the criticism adds to backlash against findings by the johnson government that called britain “model for other white majority countries ” ,u n panel is scathing in its criticism of british report on race end , start u k lawmakers say they were more than people end
Word2vec,the proposed charter which gives the military powerful role won strong support in central thailand but was opposed in the northeast and far south ,start thailand’s divisions on display in vote new constitution end , start u n council to hold on north korea end
Word2vec,a protester was shot and the compound of former prime minister abhisit vejjajiva was damaged by small explosion during the unrest ,start thousands march against thai leader in 3rd day of protests end , start egypt mayor arrested in killing of protests end
Word2vec,senator lindsey graham of south carolina one of the most hawkish foreign policy voices in the race said he has concluded “this is not my time” despite making difference in the crowded republican presidential field ,start lindsey graham halts his bid for the presidency end , start biden and sanders meet with hillary clinton end
Word2vec,the afghan interior ministry said the publications in english and were as mouthpieces and propaganda tools for the taliban ” ,start pakistani papers banned by afghanistan in east end , start u s military chief says end
Word2vec,the arctic sea missing since last month was 300 miles off cape verde the russia defense ministry said ,start russia says ship and crew are safe end , start russia and ukraine are ready to ukraine end
Word2vec,footage released week after the tragedy showed how the dam released 2 5 billion gallons of brown sludge that buried people cars and buildings in seconds ,start a deadly river of mud video of brazil dam collapse emerges end , start a quake survivors of the philippines end
Word2vec,with turnout the key to victory in florida some democrats have expressed concern about lack of enthusiasm from black and latino voters ,with early voting underway in florida democrats worry about black and latino support end , start the democratic party in wisconsin end
Word2vec,activists and residents said security forces carried out military operations against those seeking to topple the assad government ,start political cartoonist whose work skewered assad is beaten in syria end , start myanmar military forces hold military base in disputed region end
