Model,Abstract,True Title,Predicted Title
LSTM Pointer Generator,it’s another primary day for democrats it’s another opportunity for senator bernie sanders of vermont to forge path against hillary clinton for republicans it’s chance to try to blunt the front runner donald trump ,michigan leads three other states into the fray , bernie sanders and bernie sanders in iowa poll shows debate
LSTM Pointer Generator,voters pushed out alexis tsipras former firebrand leftist after years of austerity <unk> <unk> harvard educated former banker will succeed him ,greek elections prime minister loses re election to center right , in spain election law is poised to win
LSTM Pointer Generator,the fire broke out just as local residents had reached the scene to gather leaking fuel ,50 die after accident and fire in democratic republic of congo , south korea fires its own day
LSTM Pointer Generator,some in the miami region retain the traditional resentment of the castro government but many more welcome the president’s visit as an opportunity ,reaction to obama trip reflects change in cuban americans , in the world war the world war
LSTM Pointer Generator,researchers did not find live bacteria capable of infecting anyone despite discovering antibiotic resistant genetic material in the smog ,fear then skepticism over antibiotic resistant genes in beijing smog , in china the coronavirus outbreak is the world’s largest town
LSTM Pointer Generator,in his final address to hundreds of thousands of young catholics gathered in australia pope benedict xvi sharply criticized the violence and materialism of the modern age ,pope warns youth against self <unk> , pope francis in china is not to be in church
LSTM Pointer Generator,the parliament members escaped without injury but officials in their <unk> coalition suspected political motive in the attack ,bomb explodes near convoy of iraqi lawmakers killing guard , in turkey over kashmir killings are killed in attack
LSTM Pointer Generator,more than week after torrential rains caused mudslides in mountain towns north of rio de janeiro the death toll has risen to at least <unk> people with over 300 missing ,brazil toll rises again in mudslides , earthquake kills dozens in southern philippines
LSTM Pointer Generator,vatican experts and some church leaders said pope benedict xvi’s decision to quit could set limits for future popes and make them more subject to pressure from critics ,in benedict’s resignation the potential to place limits on future popes , pope francis in britain urges church in church
LSTM Pointer Generator,from the international herald tribune archives hungarian patriot drew condemnation from berlin in 1889 ,1889 italy to expel hungarian , 1889 1889 new york
LSTM Pointer Generator,the colombian rebel organization farc lost its leader alfonso <unk> to military attack but experts said the four decade old group could still fight back ,despite leader’s death colombian rebels remain dangerous analysts say , somalia rebels kill at least in libya
LSTM Pointer Generator,president obama said he made “no apologies for doing whatever <unk> to create american jobs ,after struggles obama seeks lift in japan , u s and cuba to discuss syria
LSTM Pointer Generator,the number of infants taken to hospitals after drinking tainted milk formula has climbed to nearly 13 000 ,13 000 babies in hospital for china formula , china bans its own milk
LSTM Pointer Generator,after reports of rioting terrorism and deadly police shootings tourism has plummeted in xinjiang long considered one of china’s most exotic destinations ,once draw restive region in china suffers after unrest , china arrests in xinjiang attack
LSTM Pointer Generator,panel of experts said that the world health organization requires radical change of culture to cope with future emergencies ,h o needs reforms in wake of ebola crisis report says , u n report finds more than billion for ebola
