Model,Abstract,True Title,Predicted Title
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"A United Nations investigator, whose report on the C.I.A.’s use of secret detentions and interrogation techniques is to be released, called on the United States to publicly account for the policy.",Inquiry on C.I.A. Detentions to Be Unveiled,Top U.N. Official Calls for Public Accounting Regarding U.S. Practices
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"In a speech in London, Mr. Abbott offered Australia’s tough policies as a model. “This means turning boats around, for people coming by sea,” he said.","Tony Abbott, Ousted Australian Leader, Urges Europe to Take Hard Line on Migrants",Australia Explains Turnback for Refugees
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Britain’s stance on the case of Nazanin Zaghari-Ratcliffe, who awaits trial in Tehran, has drawn criticism as it weighs its international role outside the European Union.",U.K. Says It Can’t Guarantee Assistance for Citizen Held in Iran,Boris Johnson Draws Iran Criticism in Case of Imprisoned Woman
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Painfully wounded in the atomic bombing when he was 16, he went on to become a prominent campaigner for the abolition of nuclear weapons.","Sumiteru Taniguchi, 88, Who Survived Nagasaki to Become Activist, Dies","Sumiteru was photographed in Nagasaki, Japan, on Aug. 27, 1945. Which part of his body did the atomic bomb in Nagasaki scar?"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The deal addressed an austerity budget dispute with Britain and issues that were a legacy of Northern Ireland’s bloody past.,Agreement in Northern Ireland Averts Collapse of Power-Sharing Government,"In Hard-Won Deal, the E.U. Admits Croatia as 28th Member"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"An event on Tuesday night became “part prayer revival,” Mr. Cruz said, with an appearance from a pastor who the Texas senator explained had played a crucial role in his father’s life.","Ted Cruz, at Rally, Recognizes Pastor He Says Changed His Father’s Life","Ted Cruz Campaign, Seeking Elusive Win in South Carolina, Tries Religious Route from Iowa Win"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Young Afghans are abandoning their country, frustrated by endless war, a lack of prospects and the slow pace of change.","Running Out of Options, Afghans Pay for an Exit",Afghanistan’: Afghans Who Can Afford to Flee the Country Do
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The evacuations highlighted the prevalence of siege warfare in Syria and the extent to which prolonged violence has altered the human fabric of communities there.,"More Than 7,000 People Evacuated From 4 Besieged Syrian Towns","Food and Medicine Enter Besieged Syrian Town Where 40,000 Are Starving"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,The senior U.N. official for humanitarian relief  said the blockade enforced by Israel and Egypt amounted to the collective punishment of 1.5 million Palestinians.,U.N. Official Condemns Gaza Blockade,"Covering Gaza Crisis, U.N. Official Shifts Tone Focusing on Israeli Blockade of Strip"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,An Iranian construction company contended that a check for nearly $70 million in Venezuelan currency found in the carry-on bag of a former economy minister had a mundane purpose.,Firm Denies Deception in Big Check Tied to Iran,Venezuelan’s Mystery Mission to Iran: A Background Check on U.S. Enemy No. 1
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,Civilian aid workers worry that Afghanistan will be abandoned and that the hard-earned development gains will be reversed.,Aid Agencies in Afghanistan Fear Reversals After U.S. Exit,"Fearing a Drop in Aid, Afghans Imagine Civil Wars and Skyrocketing Food Prices"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Prime Minister Tony Abbott said Monday that the government would revoke the citizenship of known terrorists and tighten immigration, visa and hate speech laws.",Prime Minister Seeks to Tighten Controls on Australians Suspected of Terrorism,Australia to Revoke Citizenship of Convicted Terrorists
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The 94-year-old defendant, Reinhold Hanning, told a German court he was “ashamed I witnessed injustice and allowed it to continue” while serving at the Nazi death camp.",Former Auschwitz Guard Apologizes at Trial in Germany,"Ex-Guard at Auschwitz Goes on Trial, in His 90s, but Says He’s Too Young"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The principle of Pashtunwali, a code of conduct that stresses fairness and gives guest privileges even to enemies, is being lost after decades of war.",Afghans See a Collapse of Tradition in a Spate of Devious Attacks,The Illegal Melding of Afghan Prisons and Torture
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,South Koreans had widely criticized a 2015 deal to end a dispute with Japan over women forced into sexual slavery during World War II.,South Korea Says It Won’t Scrap Sex Slaves Accord With Japan,South Korea to Recommend Scrapping ‘Final’ Deal With Japan Over Wartime Sex Slaves
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,See full results and maps from the California election.,California Election Results: Ninth Congressional District,California Primary Election Results
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"Protests led an Islamic university to reverse its ban on niqabs, a move that advocates of moderate Islam see as a troubling sign.",Ban on Face Veils at Indonesian University Lasted Just a Week,Egypt: Victory for Ultraconservative Islam
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The government of Bashar al-Assad said troops and civilians left safely, while insurgents claimed to have killed or captured some in completing their takeover of the town of Jisr al-Shoughour.",Two Sides Claim Victory as Syrian Troops Flee Hospital,"Syria Says Army Withdraws From Town, but Rebels Dispute Withdrawal"
ft:gpt-3.5-turbo-0125:personal:nyt-dataset:98g0EH1s,"The British prime minister was excluded from European Union meetings, and Britain’s two main parties are both grappling with leadership changes.",‘Brexit’ Briefing: David Cameron Leaves Brussels Early; Conservatives Seek New Leader,Brexit Fallout Spreads as Both Labour and Tories Grapple With Leadership Changes
